Year,Sex,Age_Group,Education_Level,State,Number_Individuals
2019,Female,25-34,"Some college, no degree",Arkansas,48483
2019,Female,25-34,Associate's degree,Arkansas,18002
2019,Female,25-34,Bachelor's degree,Arkansas,39756
2019,Female,25-34,Graduate or professional degree,Arkansas,14441
2019,Female,35-44,Less than 9th grade,Arkansas,6586
2019,Female,35-44,"9th to 12th grade, no diploma",Arkansas,10907
2019,Female,35-44,High school graduate (includes equivalency),Arkansas,48757
2019,Female,35-44,"Some college, no degree",Arkansas,42932
2019,Female,35-44,Associate's degree,Arkansas,22903
2019,Female,35-44,Bachelor's degree,Arkansas,34244
2019,Female,35-44,Graduate or professional degree,Arkansas,24075
2019,Female,45-64,Less than 9th grade,Arkansas,14702
2019,Female,45-64,"9th to 12th grade, no diploma",Arkansas,25577
2019,Female,45-64,High school graduate (includes equivalency),Arkansas,130803
2019,Female,45-64,"Some college, no degree",Arkansas,80831
2019,Female,45-64,Associate's degree,Arkansas,37997
2019,Female,45-64,Bachelor's degree,Arkansas,61599
2019,Female,45-64,Graduate or professional degree,Arkansas,31803
2019,Female,65 and older,Less than 9th grade,Arkansas,19612
2019,Female,65 and older,"9th to 12th grade, no diploma",Arkansas,30293
2019,Female,65 and older,High school graduate (includes equivalency),Arkansas,109971
2019,Female,65 and older,"Some college, no degree",Arkansas,62087
2019,Female,65 and older,Associate's degree,Arkansas,16104
2019,Female,65 and older,Bachelor's degree,Arkansas,33085
2019,Female,65 and older,Graduate or professional degree,Arkansas,21080
2021,Male,18-24,Less than 9th grade,Arkansas,2340
2021,Male,18-24,"9th to 12th grade, no diploma",Arkansas,18812
2021,Male,18-24,High school graduate (includes equivalency),Arkansas,63617
2021,Male,18-24,"Some college, no degree",Arkansas,46865
2021,Male,18-24,Associate's degree,Arkansas,4561
2021,Male,18-24,Bachelor's degree,Arkansas,10911
2021,Male,18-24,Graduate or professional degree,Arkansas,994
2021,Male,25-34,Less than 9th grade,Arkansas,5733
2021,Male,25-34,"9th to 12th grade, no diploma",Arkansas,12008
2021,Male,25-34,High school graduate (includes equivalency),Arkansas,73328
2021,Male,25-34,"Some college, no degree",Arkansas,41697
2021,Male,25-34,Associate's degree,Arkansas,13146
2021,Male,25-34,Bachelor's degree,Arkansas,31392
2021,Male,25-34,Graduate or professional degree,Arkansas,14670
2021,Male,35-44,Less than 9th grade,Arkansas,10213
2021,Male,35-44,"9th to 12th grade, no diploma",Arkansas,14278
2021,Male,35-44,High school graduate (includes equivalency),Arkansas,66596
2021,Male,35-44,"Some college, no degree",Arkansas,38062
2021,Male,35-44,Associate's degree,Arkansas,13841
2021,Male,35-44,Bachelor's degree,Arkansas,30708
2021,Male,35-44,Graduate or professional degree,Arkansas,17831
2021,Male,45-64,Less than 9th grade,Arkansas,19486
2021,Male,45-64,"9th to 12th grade, no diploma",Arkansas,29498
2021,Male,45-64,High school graduate (includes equivalency),Arkansas,139113
2021,Male,45-64,"Some college, no degree",Arkansas,70647
2021,Male,45-64,Associate's degree,Arkansas,24245
2021,Male,45-64,Bachelor's degree,Arkansas,51607
2021,Male,45-64,Graduate or professional degree,Arkansas,29031
2021,Male,65 and older,Less than 9th grade,Arkansas,15774
2021,Male,65 and older,"9th to 12th grade, no diploma",Arkansas,17903
2021,Male,65 and older,High school graduate (includes equivalency),Arkansas,80373
2021,Male,65 and older,"Some college, no degree",Arkansas,51295
2021,Male,65 and older,Associate's degree,Arkansas,10971
2021,Male,65 and older,Bachelor's degree,Arkansas,35888
2021,Male,65 and older,Graduate or professional degree,Arkansas,23069
2021,Female,18-24,Less than 9th grade,Arkansas,1424
2021,Female,18-24,"9th to 12th grade, no diploma",Arkansas,10076
2021,Female,18-24,High school graduate (includes equivalency),Arkansas,50256
2021,Female,18-24,"Some college, no degree",Arkansas,51752
2021,Female,18-24,Associate's degree,Arkansas,7099
2021,Female,18-24,Bachelor's degree,Arkansas,14655
2021,Female,18-24,Graduate or professional degree,Arkansas,973
2021,Female,25-34,Less than 9th grade,Arkansas,3325
2021,Female,25-34,"9th to 12th grade, no diploma",Arkansas,10310
2021,Female,25-34,High school graduate (includes equivalency),Arkansas,53777
2021,Female,25-34,"Some college, no degree",Arkansas,45422
2021,Female,25-34,Associate's degree,Arkansas,21877
2021,Female,25-34,Bachelor's degree,Arkansas,38277
2021,Female,25-34,Graduate or professional degree,Arkansas,19814
2021,Female,35-44,Less than 9th grade,Arkansas,6314
2021,Female,35-44,"9th to 12th grade, no diploma",Arkansas,10070
2021,Female,35-44,High school graduate (includes equivalency),Arkansas,45709
2021,Female,35-44,"Some college, no degree",Arkansas,42537
2021,Female,35-44,Associate's degree,Arkansas,23985
2021,Female,35-44,Bachelor's degree,Arkansas,38334
2021,Female,35-44,Graduate or professional degree,Arkansas,25506
2021,Female,45-64,Less than 9th grade,Arkansas,15322
2021,Female,45-64,"9th to 12th grade, no diploma",Arkansas,24171
2021,Female,45-64,High school graduate (includes equivalency),Arkansas,119649
2021,Female,45-64,"Some college, no degree",Arkansas,89781
2021,Female,45-64,Associate's degree,Arkansas,35467
2021,Female,45-64,Bachelor's degree,Arkansas,60447
2021,Female,45-64,Graduate or professional degree,Arkansas,35386
2021,Female,65 and older,Less than 9th grade,Arkansas,14493
2021,Female,65 and older,"9th to 12th grade, no diploma",Arkansas,21992
2021,Female,65 and older,High school graduate (includes equivalency),Arkansas,116517
2021,Female,65 and older,"Some college, no degree",Arkansas,55794
2021,Female,65 and older,Associate's degree,Arkansas,18010
2021,Female,65 and older,Bachelor's degree,Arkansas,37484
2021,Female,65 and older,Graduate or professional degree,Arkansas,25590
2022,Male,18-24,Less than 9th grade,Arkansas,1595
2022,Male,18-24,"9th to 12th grade, no diploma",Arkansas,17838
2022,Male,18-24,High school graduate (includes equivalency),Arkansas,63864
2022,Male,18-24,"Some college, no degree",Arkansas,49295
2022,Male,18-24,Associate's degree,Arkansas,7597
2022,Male,18-24,Bachelor's degree,Arkansas,11556
2022,Male,18-24,Graduate or professional degree,Arkansas,599
2022,Male,25-34,Less than 9th grade,Arkansas,5368
2022,Male,25-34,"9th to 12th grade, no diploma",Arkansas,10415
2022,Male,25-34,High school graduate (includes equivalency),Arkansas,70049
2022,Male,25-34,"Some college, no degree",Arkansas,48843
2022,Male,25-34,Associate's degree,Arkansas,13269
2022,Male,25-34,Bachelor's degree,Arkansas,31127
2022,Male,25-34,Graduate or professional degree,Arkansas,13736
2022,Male,35-44,Less than 9th grade,Arkansas,7198
2022,Male,35-44,"9th to 12th grade, no diploma",Arkansas,13251
2022,Male,35-44,High school graduate (includes equivalency),Arkansas,67325
2022,Male,35-44,"Some college, no degree",Arkansas,40142
2022,Male,35-44,Associate's degree,Arkansas,13354
2022,Male,35-44,Bachelor's degree,Arkansas,32500
2022,Male,35-44,Graduate or professional degree,Arkansas,19075
2022,Male,45-64,Less than 9th grade,Arkansas,17852
2022,Male,45-64,"9th to 12th grade, no diploma",Arkansas,30933
2022,Male,45-64,High school graduate (includes equivalency),Arkansas,144886
2022,Male,45-64,"Some college, no degree",Arkansas,72307
2022,Male,45-64,Associate's degree,Arkansas,23483
2022,Male,45-64,Bachelor's degree,Arkansas,49412
2022,Male,45-64,Graduate or professional degree,Arkansas,30120
2022,Male,65 and older,Less than 9th grade,Arkansas,12563
2022,Male,65 and older,"9th to 12th grade, no diploma",Arkansas,20571
2022,Male,65 and older,High school graduate (includes equivalency),Arkansas,86509
2022,Male,65 and older,"Some college, no degree",Arkansas,48488
2022,Male,65 and older,Associate's degree,Arkansas,14071
2022,Male,65 and older,Bachelor's degree,Arkansas,32477
2022,Male,65 and older,Graduate or professional degree,Arkansas,25656
2022,Female,18-24,Less than 9th grade,Arkansas,1830
2022,Female,18-24,"9th to 12th grade, no diploma",Arkansas,15983
2022,Female,18-24,High school graduate (includes equivalency),Arkansas,45437
2022,Female,18-24,"Some college, no degree",Arkansas,53632
2022,Female,18-24,Associate's degree,Arkansas,7151
2022,Female,18-24,Bachelor's degree,Arkansas,15242
2022,Female,18-24,Graduate or professional degree,Arkansas,562
2022,Female,25-34,Less than 9th grade,Arkansas,4536
2022,Female,25-34,"9th to 12th grade, no diploma",Arkansas,7594
2022,Female,25-34,High school graduate (includes equivalency),Arkansas,51433
2022,Female,25-34,"Some college, no degree",Arkansas,46502
2022,Female,25-34,Associate's degree,Arkansas,20982
2022,Female,25-34,Bachelor's degree,Arkansas,43489
2022,Female,25-34,Graduate or professional degree,Arkansas,18534
2022,Female,35-44,Less than 9th grade,Arkansas,6756
2022,Female,35-44,"9th to 12th grade, no diploma",Arkansas,10498
2022,Female,35-44,High school graduate (includes equivalency),Arkansas,53174
2022,Female,35-44,"Some college, no degree",Arkansas,38342
2022,Female,35-44,Associate's degree,Arkansas,21578
2022,Female,35-44,Bachelor's degree,Arkansas,35710
2022,Female,35-44,Graduate or professional degree,Arkansas,28737
2022,Female,45-64,Less than 9th grade,Arkansas,15390
2022,Female,45-64,"9th to 12th grade, no diploma",Arkansas,25313
2022,Female,45-64,High school graduate (includes equivalency),Arkansas,116250
2022,Female,45-64,"Some college, no degree",Arkansas,80112
2022,Female,45-64,Associate's degree,Arkansas,40179
2022,Female,45-64,Bachelor's degree,Arkansas,60791
2022,Female,45-64,Graduate or professional degree,Arkansas,38237
2022,Female,65 and older,Less than 9th grade,Arkansas,13077
2022,Female,65 and older,"9th to 12th grade, no diploma",Arkansas,22122
2022,Female,65 and older,High school graduate (includes equivalency),Arkansas,116044
2022,Female,65 and older,"Some college, no degree",Arkansas,63340
2022,Female,65 and older,Associate's degree,Arkansas,20718
2022,Female,65 and older,Bachelor's degree,Arkansas,38455
2022,Female,65 and older,Graduate or professional degree,Arkansas,24751
2023,Male,18-24,Less than 9th grade,Arkansas,3728
2023,Male,18-24,"9th to 12th grade, no diploma",Arkansas,18245
2023,Male,18-24,High school graduate (includes equivalency),Arkansas,62317
2023,Male,18-24,"Some college, no degree",Arkansas,41853
2023,Male,18-24,Associate's degree,Arkansas,6547
2023,Male,18-24,Bachelor's degree,Arkansas,12284
2023,Male,18-24,Graduate or professional degree,Arkansas,936
2023,Male,25-34,Less than 9th grade,Arkansas,5438
2023,Male,25-34,"9th to 12th grade, no diploma",Arkansas,12630
2023,Male,25-34,High school graduate (includes equivalency),Arkansas,74607
2023,Male,25-34,"Some college, no degree",Arkansas,42431
2023,Male,25-34,Associate's degree,Arkansas,15793
2023,Male,25-34,Bachelor's degree,Arkansas,33242
2023,Male,25-34,Graduate or professional degree,Arkansas,14247
2023,Male,35-44,Less than 9th grade,Arkansas,8863
2023,Male,35-44,"9th to 12th grade, no diploma",Arkansas,13991
2023,Male,35-44,High school graduate (includes equivalency),Arkansas,65998
2023,Male,35-44,"Some college, no degree",Arkansas,38231
2023,Male,35-44,Associate's degree,Arkansas,18402
2023,Male,35-44,Bachelor's degree,Arkansas,35556
2023,Male,35-44,Graduate or professional degree,Arkansas,17489
2023,Male,45-64,Less than 9th grade,Arkansas,17352
2023,Male,45-64,"9th to 12th grade, no diploma",Arkansas,31904
2023,Male,45-64,High school graduate (includes equivalency),Arkansas,135310
2023,Male,45-64,"Some college, no degree",Arkansas,70776
2023,Male,45-64,Associate's degree,Arkansas,24883
2023,Male,45-64,Bachelor's degree,Arkansas,54580
2023,Male,45-64,Graduate or professional degree,Arkansas,26856
2023,Male,65 and older,Less than 9th grade,Arkansas,11850
2023,Male,65 and older,"9th to 12th grade, no diploma",Arkansas,19807
2023,Male,65 and older,High school graduate (includes equivalency),Arkansas,88822
2023,Male,65 and older,"Some college, no degree",Arkansas,50478
2023,Male,65 and older,Associate's degree,Arkansas,13430
2023,Male,65 and older,Bachelor's degree,Arkansas,35363
2023,Male,65 and older,Graduate or professional degree,Arkansas,26938
2023,Female,18-24,Less than 9th grade,Arkansas,2201
2023,Female,18-24,"9th to 12th grade, no diploma",Arkansas,12916
2023,Female,18-24,High school graduate (includes equivalency),Arkansas,49251
2023,Female,18-24,"Some college, no degree",Arkansas,50007
2023,Female,18-24,Associate's degree,Arkansas,10350
2023,Female,18-24,Bachelor's degree,Arkansas,16594
2023,Female,18-24,Graduate or professional degree,Arkansas,1261
2023,Female,25-34,Less than 9th grade,Arkansas,2984
2023,Female,25-34,"9th to 12th grade, no diploma",Arkansas,7672
2023,Female,25-34,High school graduate (includes equivalency),Arkansas,58382
2023,Female,25-34,"Some college, no degree",Arkansas,39607
2023,Female,25-34,Associate's degree,Arkansas,21924
2023,Female,25-34,Bachelor's degree,Arkansas,45434
2023,Female,25-34,Graduate or professional degree,Arkansas,18803
2023,Female,35-44,Less than 9th grade,Arkansas,8049
2023,Female,35-44,"9th to 12th grade, no diploma",Arkansas,11603
2023,Female,35-44,High school graduate (includes equivalency),Arkansas,48633
2023,Female,35-44,"Some college, no degree",Arkansas,40089
2023,Female,35-44,Associate's degree,Arkansas,23791
2023,Female,35-44,Bachelor's degree,Arkansas,40477
2023,Female,35-44,Graduate or professional degree,Arkansas,28007
2023,Female,45-64,Less than 9th grade,Arkansas,13488
2023,Female,45-64,"9th to 12th grade, no diploma",Arkansas,24991
2023,Female,45-64,High school graduate (includes equivalency),Arkansas,116148
2023,Female,45-64,"Some college, no degree",Arkansas,76135
2023,Female,45-64,Associate's degree,Arkansas,38006
2023,Female,45-64,Bachelor's degree,Arkansas,65128
2023,Female,45-64,Graduate or professional degree,Arkansas,39418
2023,Female,65 and older,Less than 9th grade,Arkansas,12241
2023,Female,65 and older,"9th to 12th grade, no diploma",Arkansas,20535
2023,Female,65 and older,High school graduate (includes equivalency),Arkansas,122330
2023,Female,65 and older,"Some college, no degree",Arkansas,65523
2023,Female,65 and older,Associate's degree,Arkansas,21107
2023,Female,65 and older,Bachelor's degree,Arkansas,36056
2023,Female,65 and older,Graduate or professional degree,Arkansas,26426
2018,Male,18-24,Less than 9th grade,California,25665
2018,Male,18-24,"9th to 12th grade, no diploma",California,202335
2018,Male,18-24,High school graduate (includes equivalency),California,643676
2018,Male,18-24,"Some college, no degree",California,788192
2018,Male,18-24,Associate's degree,California,88991
2018,Male,18-24,Bachelor's degree,California,170542
2018,Male,18-24,Graduate or professional degree,California,13146
2018,Male,25-34,Less than 9th grade,California,125033
2018,Male,25-34,"9th to 12th grade, no diploma",California,238416
2018,Male,25-34,High school graduate (includes equivalency),California,775672
2018,Male,25-34,"Some college, no degree",California,725900
2018,Male,25-34,Associate's degree,California,223851
2018,Male,25-34,Bachelor's degree,California,728289
2018,Male,25-34,Graduate or professional degree,California,297096
2018,Male,35-44,Less than 9th grade,California,219635
2018,Male,35-44,"9th to 12th grade, no diploma",California,233389
2018,Male,35-44,High school graduate (includes equivalency),California,574176
2018,Male,35-44,"Some college, no degree",California,528909
2018,Male,35-44,Associate's degree,California,181794
2018,Male,35-44,Bachelor's degree,California,558238
2018,Male,35-44,Graduate or professional degree,California,360282
2018,Male,45-64,Less than 9th grade,California,506042
2018,Male,45-64,"9th to 12th grade, no diploma",California,401648
2018,Male,45-64,High school graduate (includes equivalency),California,1047119
2018,Male,45-64,"Some college, no degree",California,980133
2018,Male,45-64,Associate's degree,California,356277
2018,Male,45-64,Bachelor's degree,California,935787
2018,Male,45-64,Graduate or professional degree,California,622437
2018,Male,65 and older,Less than 9th grade,California,284464
2018,Male,65 and older,"9th to 12th grade, no diploma",California,151719
2018,Male,65 and older,High school graduate (includes equivalency),California,442866
2018,Male,65 and older,"Some college, no degree",California,496955
2018,Male,65 and older,Associate's degree,California,196901
2018,Male,65 and older,Bachelor's degree,California,503718
2018,Male,65 and older,Graduate or professional degree,California,444894
2018,Female,18-24,Less than 9th grade,California,19826
2018,Female,18-24,"9th to 12th grade, no diploma",California,142694
2018,Female,18-24,High school graduate (includes equivalency),California,502582
2018,Female,18-24,"Some college, no degree",California,803907
2018,Female,18-24,Associate's degree,California,105461
2018,Female,18-24,Bachelor's degree,California,231338
2018,Female,18-24,Graduate or professional degree,California,17508
2018,Female,25-34,Less than 9th grade,California,91737
2018,Female,25-34,"9th to 12th grade, no diploma",California,154860
2018,Female,25-34,High school graduate (includes equivalency),California,554717
2018,Female,25-34,"Some college, no degree",California,673770
2018,Female,25-34,Associate's degree,California,259868
2018,Female,25-34,Bachelor's degree,California,829183
2018,Female,25-34,Graduate or professional degree,California,356006
2018,Female,35-44,Less than 9th grade,California,204285
2018,Female,35-44,"9th to 12th grade, no diploma",California,192351
2018,Female,35-44,High school graduate (includes equivalency),California,471434
2018,Female,35-44,"Some college, no degree",California,490239
2018,Female,35-44,Associate's degree,California,214284
2018,Female,35-44,Bachelor's degree,California,614002
2018,Female,35-44,Graduate or professional degree,California,421439
2018,Female,45-64,Less than 9th grade,California,520826
2018,Female,45-64,"9th to 12th grade, no diploma",California,369661
2018,Female,45-64,High school graduate (includes equivalency),California,986266
2018,Female,45-64,"Some college, no degree",California,1043107
2018,Female,45-64,Associate's degree,California,456875
2018,Female,45-64,Bachelor's degree,California,1005923
2018,Female,45-64,Graduate or professional degree,California,617351
2018,Female,65 and older,Less than 9th grade,California,444204
2018,Female,65 and older,"9th to 12th grade, no diploma",California,216747
2018,Female,65 and older,High school graduate (includes equivalency),California,707112
2018,Female,65 and older,"Some college, no degree",California,650633
2018,Female,65 and older,Associate's degree,California,250693
2018,Female,65 and older,Bachelor's degree,California,529712
2018,Female,65 and older,Graduate or professional degree,California,346719
2019,Male,18-24,Less than 9th grade,California,25940
2019,Male,18-24,"9th to 12th grade, no diploma",California,187753
2019,Male,18-24,High school graduate (includes equivalency),California,647649
2019,Male,18-24,"Some college, no degree",California,758689
2019,Male,18-24,Associate's degree,California,88447
2019,Male,18-24,Bachelor's degree,California,171744
2019,Male,18-24,Graduate or professional degree,California,11867
2019,Male,25-34,Less than 9th grade,California,117773
2019,Male,25-34,"9th to 12th grade, no diploma",California,222848
2019,Male,25-34,High school graduate (includes equivalency),California,763090
2019,Male,25-34,"Some college, no degree",California,715616
2019,Male,25-34,Associate's degree,California,220462
2019,Male,25-34,Bachelor's degree,California,778072
2019,Male,25-34,Graduate or professional degree,California,298477
2019,Male,35-44,Less than 9th grade,California,206831
2019,Male,35-44,"9th to 12th grade, no diploma",California,235826
2019,Male,35-44,High school graduate (includes equivalency),California,588684
2019,Male,35-44,"Some college, no degree",California,517736
2019,Male,35-44,Associate's degree,California,184998
2019,Male,35-44,Bachelor's degree,California,580391
2019,Male,35-44,Graduate or professional degree,California,368205
2019,Male,45-64,Less than 9th grade,California,499627
2019,Male,45-64,"9th to 12th grade, no diploma",California,415421
2019,Male,45-64,High school graduate (includes equivalency),California,1033067
2019,Male,45-64,"Some college, no degree",California,948139
2019,Male,45-64,Associate's degree,California,343795
2019,Male,45-64,Bachelor's degree,California,933609
2019,Male,45-64,Graduate or professional degree,California,636314
2019,Male,65 and older,Less than 9th grade,California,287184
2019,Male,65 and older,"9th to 12th grade, no diploma",California,156103
2019,Male,65 and older,High school graduate (includes equivalency),California,461104
2019,Male,65 and older,"Some college, no degree",California,527844
2019,Male,65 and older,Associate's degree,California,202712
2019,Male,65 and older,Bachelor's degree,California,514260
2019,Male,65 and older,Graduate or professional degree,California,450636
2019,Female,18-24,Less than 9th grade,California,18630
2019,Female,18-24,"9th to 12th grade, no diploma",California,135459
2019,Female,18-24,High school graduate (includes equivalency),California,503565
2019,Female,18-24,"Some college, no degree",California,782138
2019,Female,18-24,Associate's degree,California,107607
2019,Female,18-24,Bachelor's degree,California,228786
2019,Female,18-24,Graduate or professional degree,California,15013
2019,Female,25-34,Less than 9th grade,California,82723
2019,Female,25-34,"9th to 12th grade, no diploma",California,159050
2019,Female,25-34,High school graduate (includes equivalency),California,553309
2019,Female,25-34,"Some college, no degree",California,651100
2019,Female,25-34,Associate's degree,California,241685
2019,Female,25-34,Bachelor's degree,California,869749
2019,Female,25-34,Graduate or professional degree,California,362098
2019,Female,35-44,Less than 9th grade,California,186525
2019,Female,35-44,"9th to 12th grade, no diploma",California,191713
2019,Female,35-44,High school graduate (includes equivalency),California,465318
2019,Female,35-44,"Some college, no degree",California,480594
2019,Female,35-44,Associate's degree,California,218547
2019,Female,35-44,Bachelor's degree,California,634989
2019,Female,35-44,Graduate or professional degree,California,438554
2019,Female,45-64,Less than 9th grade,California,525821
2019,Female,45-64,"9th to 12th grade, no diploma",California,353068
2019,Female,45-64,High school graduate (includes equivalency),California,960812
2019,Female,45-64,"Some college, no degree",California,1023224
2019,Female,45-64,Associate's degree,California,450174
2019,Female,45-64,Bachelor's degree,California,1019505
2019,Female,45-64,Graduate or professional degree,California,625335
2019,Female,65 and older,Less than 9th grade,California,439751
2019,Female,65 and older,"9th to 12th grade, no diploma",California,221249
2019,Female,65 and older,High school graduate (includes equivalency),California,721327
2019,Female,65 and older,"Some college, no degree",California,678119
2019,Female,65 and older,Associate's degree,California,256419
2019,Female,65 and older,Bachelor's degree,California,559149
2019,Female,65 and older,Graduate or professional degree,California,359141
2021,Male,18-24,Less than 9th grade,California,32945
2021,Male,18-24,"9th to 12th grade, no diploma",California,170551
2021,Male,18-24,High school graduate (includes equivalency),California,680498
2021,Male,18-24,"Some college, no degree",California,669383
2021,Male,18-24,Associate's degree,California,87607
2021,Male,18-24,Bachelor's degree,California,169812
2021,Male,18-24,Graduate or professional degree,California,11743
2021,Male,25-34,Less than 9th grade,California,109164
2021,Male,25-34,"9th to 12th grade, no diploma",California,193625
2021,Male,25-34,High school graduate (includes equivalency),California,750136
2021,Male,25-34,"Some college, no degree",California,657584
2021,Male,25-34,Associate's degree,California,208997
2021,Male,25-34,Bachelor's degree,California,777988
2021,Male,25-34,Graduate or professional degree,California,298348
2021,Male,35-44,Less than 9th grade,California,214363
2021,Male,35-44,"9th to 12th grade, no diploma",California,221804
2021,Male,35-44,High school graduate (includes equivalency),California,617512
2021,Male,35-44,"Some college, no degree",California,509513
2021,Male,35-44,Associate's degree,California,191906
2021,Male,35-44,Bachelor's degree,California,608612
2021,Male,35-44,Graduate or professional degree,California,409421
2021,Male,45-64,Less than 9th grade,California,537792
2021,Male,45-64,"9th to 12th grade, no diploma",California,406442
2021,Male,45-64,High school graduate (includes equivalency),California,1050781
2021,Male,45-64,"Some college, no degree",California,903136
2021,Male,45-64,Associate's degree,California,330137
2021,Male,45-64,Bachelor's degree,California,948351
2021,Male,45-64,Graduate or professional degree,California,666245
2021,Male,65 and older,Less than 9th grade,California,302739
2021,Male,65 and older,"9th to 12th grade, no diploma",California,150744
2021,Male,65 and older,High school graduate (includes equivalency),California,490102
2021,Male,65 and older,"Some college, no degree",California,524750
2021,Male,65 and older,Associate's degree,California,213931
2021,Male,65 and older,Bachelor's degree,California,534406
2021,Male,65 and older,Graduate or professional degree,California,475387
2021,Female,18-24,Less than 9th grade,California,21591
2021,Female,18-24,"9th to 12th grade, no diploma",California,114375
2021,Female,18-24,High school graduate (includes equivalency),California,534537
2021,Female,18-24,"Some college, no degree",California,697820
2021,Female,18-24,Associate's degree,California,114107
2021,Female,18-24,Bachelor's degree,California,232082
2021,Female,18-24,Graduate or professional degree,California,21137
2021,Female,25-34,Less than 9th grade,California,79689
2021,Female,25-34,"9th to 12th grade, no diploma",California,116329
2021,Female,25-34,High school graduate (includes equivalency),California,552145
2021,Female,25-34,"Some college, no degree",California,595525
2021,Female,25-34,Associate's degree,California,244173
2021,Female,25-34,Bachelor's degree,California,844903
2021,Female,25-34,Graduate or professional degree,California,399263
2021,Female,35-44,Less than 9th grade,California,185145
2021,Female,35-44,"9th to 12th grade, no diploma",California,173070
2021,Female,35-44,High school graduate (includes equivalency),California,446513
2021,Female,35-44,"Some college, no degree",California,483457
2021,Female,35-44,Associate's degree,California,222010
2021,Female,35-44,Bachelor's degree,California,652740
2021,Female,35-44,Graduate or professional degree,California,478620
2021,Female,45-64,Less than 9th grade,California,523182
2021,Female,45-64,"9th to 12th grade, no diploma",California,346779
2021,Female,45-64,High school graduate (includes equivalency),California,949985
2021,Female,45-64,"Some college, no degree",California,935185
2021,Female,45-64,Associate's degree,California,425650
2021,Female,45-64,Bachelor's degree,California,1020297
2021,Female,45-64,Graduate or professional degree,California,658826
2021,Female,65 and older,Less than 9th grade,California,428583
2021,Female,65 and older,"9th to 12th grade, no diploma",California,195429
2021,Female,65 and older,High school graduate (includes equivalency),California,721823
2021,Female,65 and older,"Some college, no degree",California,678751
2021,Female,65 and older,Associate's degree,California,283471
2021,Female,65 and older,Bachelor's degree,California,570733
2021,Female,65 and older,Graduate or professional degree,California,393677
2022,Male,18-24,Less than 9th grade,California,33060
2022,Male,18-24,"9th to 12th grade, no diploma",California,163531
2022,Male,18-24,High school graduate (includes equivalency),California,740488
2022,Male,18-24,"Some college, no degree",California,655820
2022,Male,18-24,Associate's degree,California,98336
2022,Male,18-24,Bachelor's degree,California,174531
2022,Male,18-24,Graduate or professional degree,California,12629
2022,Male,25-34,Less than 9th grade,California,110870
2022,Male,25-34,"9th to 12th grade, no diploma",California,177730
2022,Male,25-34,High school graduate (includes equivalency),California,744040
2022,Male,25-34,"Some college, no degree",California,635706
2022,Male,25-34,Associate's degree,California,211788
2022,Male,25-34,Bachelor's degree,California,779712
2022,Male,25-34,Graduate or professional degree,California,305305
2022,Male,35-44,Less than 9th grade,California,206203
2022,Male,35-44,"9th to 12th grade, no diploma",California,218730
2022,Male,35-44,High school graduate (includes equivalency),California,596021
2022,Male,35-44,"Some college, no degree",California,513352
2022,Male,35-44,Associate's degree,California,190925
2022,Male,35-44,Bachelor's degree,California,626558
2022,Male,35-44,Graduate or professional degree,California,423684
2022,Male,45-64,Less than 9th grade,California,532670
2022,Male,45-64,"9th to 12th grade, no diploma",California,392885
2022,Male,45-64,High school graduate (includes equivalency),California,1039323
2022,Male,45-64,"Some college, no degree",California,906136
2022,Male,45-64,Associate's degree,California,306889
2022,Male,45-64,Bachelor's degree,California,942234
2022,Male,45-64,Graduate or professional degree,California,681310
2022,Male,65 and older,Less than 9th grade,California,312531
2022,Male,65 and older,"9th to 12th grade, no diploma",California,156730
2022,Male,65 and older,High school graduate (includes equivalency),California,488356
2022,Male,65 and older,"Some college, no degree",California,531367
2022,Male,65 and older,Associate's degree,California,230625
2022,Male,65 and older,Bachelor's degree,California,550880
2022,Male,65 and older,Graduate or professional degree,California,490211
2022,Female,18-24,Less than 9th grade,California,21667
2022,Female,18-24,"9th to 12th grade, no diploma",California,121445
2022,Female,18-24,High school graduate (includes equivalency),California,568179
2022,Female,18-24,"Some college, no degree",California,676555
2022,Female,18-24,Associate's degree,California,123279
2022,Female,18-24,Bachelor's degree,California,253553
2022,Female,18-24,Graduate or professional degree,California,20490
2022,Female,25-34,Less than 9th grade,California,76996
2022,Female,25-34,"9th to 12th grade, no diploma",California,112272
2022,Female,25-34,High school graduate (includes equivalency),California,518374
2022,Female,25-34,"Some college, no degree",California,557291
2022,Female,25-34,Associate's degree,California,247788
2022,Female,25-34,Bachelor's degree,California,863031
2022,Female,25-34,Graduate or professional degree,California,403556
2022,Female,35-44,Less than 9th grade,California,164734
2022,Female,35-44,"9th to 12th grade, no diploma",California,155649
2022,Female,35-44,High school graduate (includes equivalency),California,464181
2022,Female,35-44,"Some college, no degree",California,468270
2022,Female,35-44,Associate's degree,California,219171
2022,Female,35-44,Bachelor's degree,California,659351
2022,Female,35-44,Graduate or professional degree,California,488559
2022,Female,45-64,Less than 9th grade,California,515192
2022,Female,45-64,"9th to 12th grade, no diploma",California,328864
2022,Female,45-64,High school graduate (includes equivalency),California,921589
2022,Female,45-64,"Some college, no degree",California,904702
2022,Female,45-64,Associate's degree,California,409008
2022,Female,45-64,Bachelor's degree,California,1014468
2022,Female,45-64,Graduate or professional degree,California,672754
2022,Female,65 and older,Less than 9th grade,California,457609
2022,Female,65 and older,"9th to 12th grade, no diploma",California,196018
2022,Female,65 and older,High school graduate (includes equivalency),California,734971
