"Year","Category","State","Value"
"2023","Total_Families_35000_49999","Kansas",73085.62
"2023","Percent_Families_50000_74999","Kansas",16.9
"2023","Total_Families_50000_74999","Kansas",127334.74
"2023","Percent_Families_75000_99999","Kansas",15.7
"2023","Total_Families_75000_99999","Kansas",118293.22
"2023","Percent_Families_100000_149999","Kansas",22.2
"2023","Total_Families_100000_149999","Kansas",167268.12
"2023","Percent_Families_150000_199999","Kansas",11
"2023","Total_Families_150000_199999","Kansas",82880.6
"2023","Percent_Families_200000_or_more","Kansas",11.4
"2023","Total_Families_200000_or_more","Kansas",85894.44
"2023","Families_median_income_(dollars)","Kansas",90492
"2023","Families_mean_income_(dollars)","Kansas",113966
"2023","Total_Married-couple-families","Kansas",581346
"2023","Percent_Married-couple-families_Less_10000","Kansas",1.2
"2023","Total_Married-couple-families_Less_10000","Kansas",6976.152
"2023","Percent_Married-couple-families_10000_14999","Kansas",0.7
"2023","Total_Married-couple-families_10000_14999","Kansas",4069.422
"2023","Percent_Married-couple-families_15000_24999","Kansas",2.1
"2023","Total_Married-couple-families_15000_24999","Kansas",12208.266
"2023","Percent_Married-couple-families_25000_34999","Kansas",3.4
"2023","Total_Married-couple-families_25000_34999","Kansas",19765.764
"2023","Percent_Married-couple-families_35000_49999","Kansas",7.6
"2023","Total_Married-couple-families_35000_49999","Kansas",44182.296
"2023","Percent_Married-couple-families_50000_74999","Kansas",15.4
"2023","Total_Married-couple-families_50000_74999","Kansas",89527.284
"2023","Percent_Married-couple-families_75000_99999","Kansas",16.7
"2023","Total_Married-couple-families_75000_99999","Kansas",97084.782
"2023","Percent_Married-couple-families_100000_149999","Kansas",25.3
"2023","Total_Married-couple-families_100000_149999","Kansas",147080.538
"2023","Percent_Married-couple-families_150000_199999","Kansas",13.4
"2023","Total_Married-couple-families_150000_199999","Kansas",77900.364
"2023","Percent_Married-couple-families_200000_or_more","Kansas",14.2
"2023","Total_Married-couple-families_200000_or_more","Kansas",82551.132
"2023","Married-couple-families_median_income_(dollars)","Kansas",103964
"2023","Married-couple-families_mean_income_(dollars)","Kansas",128868
"2023","Total_Nonfamily_households","Kansas",434880
"2023","Percent_Nonfamily_households_Less_10000","Kansas",8.9
"2023","Total_Nonfamily_households_Less_10000","Kansas",38704.32
"2023","Percent_Nonfamily_households_10000_14999","Kansas",6.4
"2023","Total_Nonfamily_households_10000_14999","Kansas",27832.32
"2023","Percent_Nonfamily_households_15000_24999","Kansas",13.7
"2023","Total_Nonfamily_households_15000_24999","Kansas",59578.56
"2023","Percent_Nonfamily_households_25000_34999","Kansas",13.8
"2023","Total_Nonfamily_households_25000_34999","Kansas",60013.44
"2023","Percent_Nonfamily_households_35000_49999","Kansas",16.8
"2023","Total_Nonfamily_households_35000_49999","Kansas",73059.84
"2023","Percent_Nonfamily_households_50000_74999","Kansas",19.5
"2023","Total_Nonfamily_households_50000_74999","Kansas",84801.6
"2023","Percent_Nonfamily_households_75000_99999","Kansas",9.5
"2023","Total_Nonfamily_households_75000_99999","Kansas",41313.6
"2023","Percent_Nonfamily_households_100000_149999","Kansas",7.2
"2023","Total_Nonfamily_households_100000_149999","Kansas",31311.36
"2023","Percent_Nonfamily_households_150000_199999","Kansas",2.2
"2023","Total_Nonfamily_households_150000_199999","Kansas",9567.36
"2023","Percent_Nonfamily_households_200000_or_more","Kansas",2.1
"2023","Total_Nonfamily_households_200000_or_more","Kansas",9132.48
"2023","Nonfamily_households_median_income_(dollars)","Kansas",41087
"2023","Nonfamily_households_mean_income_(dollars)","Kansas",54987
"2018","Total_Households","Kentucky",1732713
"2018","Percent_Households_Less_10000","Kentucky",8.4
"2018","Total_Households_Less_10000","Kentucky",145547.892
"2018","Percent_Households_10000_14999","Kentucky",5.6
"2018","Total_Households_10000_14999","Kentucky",97031.928
"2018","Percent_Households_15000_24999","Kentucky",10.9
"2018","Total_Households_15000_24999","Kentucky",188865.717
"2018","Percent_Households_25000_34999","Kentucky",10.8
"2018","Total_Households_25000_34999","Kentucky",187133.004
"2018","Percent_Households_35000_49999","Kentucky",14
"2018","Total_Households_35000_49999","Kentucky",242579.82
"2018","Percent_Households_50000_74999","Kentucky",17.9
"2018","Total_Households_50000_74999","Kentucky",310155.627
"2018","Percent_Households_75000_99999","Kentucky",11.8
"2018","Total_Households_75000_99999","Kentucky",204460.134
"2018","Percent_Households_100000_149999","Kentucky",12.5
"2018","Total_Households_100000_149999","Kentucky",216589.125
"2018","Percent_Households_150000_199999","Kentucky",4
"2018","Total_Households_150000_199999","Kentucky",69308.52
"2018","Percent_Households_200000_or_more","Kentucky",4
"2018","Total_Households_200000_or_more","Kentucky",69308.52
"2018","Households_median_income_(dollars)","Kentucky",50247
"2018","Household_mean_income_(dollars)","Kentucky",69724
"2018","Total_Families","Kentucky",1138927
"2018","Percent_Families_Less_10000","Kentucky",5.5
"2018","Total_Families_Less_10000","Kentucky",62640.985
"2018","Percent_Families_10000_14999","Kentucky",3.3
"2018","Total_Families_10000_14999","Kentucky",37584.591
"2018","Percent_Families_15000_24999","Kentucky",7.9
"2018","Total_Families_15000_24999","Kentucky",89975.233
"2018","Percent_Families_25000_34999","Kentucky",9.7
"2018","Total_Families_25000_34999","Kentucky",110475.919
"2018","Percent_Families_35000_49999","Kentucky",13.4
"2018","Total_Families_35000_49999","Kentucky",152616.218
"2018","Percent_Families_50000_74999","Kentucky",19.2
"2018","Total_Families_50000_74999","Kentucky",218673.984
"2018","Percent_Families_75000_99999","Kentucky",14.2
"2018","Total_Families_75000_99999","Kentucky",161727.634
"2018","Percent_Families_100000_149999","Kentucky",16.1
"2018","Total_Families_100000_149999","Kentucky",183367.247
"2018","Percent_Families_150000_199999","Kentucky",5.5
"2018","Total_Families_150000_199999","Kentucky",62640.985
"2018","Percent_Families_200000_or_more","Kentucky",5.2
"2018","Total_Families_200000_or_more","Kentucky",59224.204
"2018","Families_median_income_(dollars)","Kentucky",62228
"2018","Families_mean_income_(dollars)","Kentucky",81782
"2018","Total_Married-couple-families","Kentucky",837979
"2018","Percent_Married-couple-families_Less_10000","Kentucky",2.3
"2018","Total_Married-couple-families_Less_10000","Kentucky",19273.517
"2018","Percent_Married-couple-families_10000_14999","Kentucky",1.7
"2018","Total_Married-couple-families_10000_14999","Kentucky",14245.643
"2018","Percent_Married-couple-families_15000_24999","Kentucky",5.5
"2018","Total_Married-couple-families_15000_24999","Kentucky",46088.845
"2018","Percent_Married-couple-families_25000_34999","Kentucky",7.8
"2018","Total_Married-couple-families_25000_34999","Kentucky",65362.362
"2018","Percent_Married-couple-families_35000_49999","Kentucky",12.4
"2018","Total_Married-couple-families_35000_49999","Kentucky",103909.396
"2018","Percent_Married-couple-families_50000_74999","Kentucky",20.1
"2018","Total_Married-couple-families_50000_74999","Kentucky",168433.779
"2018","Percent_Married-couple-families_75000_99999","Kentucky",16.4
"2018","Total_Married-couple-families_75000_99999","Kentucky",137428.556
"2018","Percent_Married-couple-families_100000_149999","Kentucky",20.2
"2018","Total_Married-couple-families_100000_149999","Kentucky",169271.758
"2018","Percent_Married-couple-families_150000_199999","Kentucky",6.6
"2018","Total_Married-couple-families_150000_199999","Kentucky",55306.614
"2018","Percent_Married-couple-families_200000_or_more","Kentucky",7
"2018","Total_Married-couple-families_200000_or_more","Kentucky",58658.53
"2018","Married-couple-families_median_income_(dollars)","Kentucky",75400
"2018","Married-couple-families_mean_income_(dollars)","Kentucky",95386
"2018","Total_Nonfamily_households","Kentucky",593786
"2018","Percent_Nonfamily_households_Less_10000","Kentucky",15.6
"2018","Total_Nonfamily_households_Less_10000","Kentucky",92630.616
"2018","Percent_Nonfamily_households_10000_14999","Kentucky",10.7
"2018","Total_Nonfamily_households_10000_14999","Kentucky",63535.102
"2018","Percent_Nonfamily_households_15000_24999","Kentucky",17.2
"2018","Total_Nonfamily_households_15000_24999","Kentucky",102131.192
"2018","Percent_Nonfamily_households_25000_34999","Kentucky",13.6
"2018","Total_Nonfamily_households_25000_34999","Kentucky",80754.896
"2018","Percent_Nonfamily_households_35000_49999","Kentucky",14.9
"2018","Total_Nonfamily_households_35000_49999","Kentucky",88474.114
"2018","Percent_Nonfamily_households_50000_74999","Kentucky",14.6
"2018","Total_Nonfamily_households_50000_74999","Kentucky",86692.756
"2018","Percent_Nonfamily_households_75000_99999","Kentucky",6.3
"2018","Total_Nonfamily_households_75000_99999","Kentucky",37408.518
"2018","Percent_Nonfamily_households_100000_149999","Kentucky",4.6
"2018","Total_Nonfamily_households_100000_149999","Kentucky",27314.156
"2018","Percent_Nonfamily_households_150000_199999","Kentucky",1.2
"2018","Total_Nonfamily_households_150000_199999","Kentucky",7125.432
"2018","Percent_Nonfamily_households_200000_or_more","Kentucky",1.4
"2018","Total_Nonfamily_households_200000_or_more","Kentucky",8313.004
"2018","Nonfamily_households_median_income_(dollars)","Kentucky",29703
"2018","Nonfamily_households_mean_income_(dollars)","Kentucky",43359
"2019","Total_Households","Kentucky",1748732
"2019","Percent_Households_Less_10000","Kentucky",7.9
"2019","Total_Households_Less_10000","Kentucky",138149.828
"2019","Percent_Households_10000_14999","Kentucky",5.5
"2019","Total_Households_10000_14999","Kentucky",96180.26
"2019","Percent_Households_15000_24999","Kentucky",10.8
"2019","Total_Households_15000_24999","Kentucky",188863.056
"2019","Percent_Households_25000_34999","Kentucky",10
"2019","Total_Households_25000_34999","Kentucky",174873.2
"2019","Percent_Households_35000_49999","Kentucky",13.4
"2019","Total_Households_35000_49999","Kentucky",234330.088
"2019","Percent_Households_50000_74999","Kentucky",18.4
"2019","Total_Households_50000_74999","Kentucky",321766.688
"2019","Percent_Households_75000_99999","Kentucky",12.4
"2019","Total_Households_75000_99999","Kentucky",216842.768
"2019","Percent_Households_100000_149999","Kentucky",12.8
"2019","Total_Households_100000_149999","Kentucky",223837.696
"2019","Percent_Households_150000_199999","Kentucky",4.7
"2019","Total_Households_150000_199999","Kentucky",82190.404
"2019","Percent_Households_200000_or_more","Kentucky",4.1
"2019","Total_Households_200000_or_more","Kentucky",71698.012
"2019","Households_median_income_(dollars)","Kentucky",52295
"2019","Household_mean_income_(dollars)","Kentucky",72215
"2019","Total_Families","Kentucky",1129276
"2019","Percent_Families_Less_10000","Kentucky",5.1
"2019","Total_Families_Less_10000","Kentucky",57593.076
"2019","Percent_Families_10000_14999","Kentucky",2.9
"2019","Total_Families_10000_14999","Kentucky",32749.004
"2019","Percent_Families_15000_24999","Kentucky",7.5
"2019","Total_Families_15000_24999","Kentucky",84695.7
"2019","Percent_Families_25000_34999","Kentucky",8.4
"2019","Total_Families_25000_34999","Kentucky",94859.184
"2019","Percent_Families_35000_49999","Kentucky",13
"2019","Total_Families_35000_49999","Kentucky",146805.88
"2019","Percent_Families_50000_74999","Kentucky",19.7
"2019","Total_Families_50000_74999","Kentucky",222467.372
"2019","Percent_Families_75000_99999","Kentucky",15.1
"2019","Total_Families_75000_99999","Kentucky",170520.676
"2019","Percent_Families_100000_149999","Kentucky",16.6
"2019","Total_Families_100000_149999","Kentucky",187459.816
"2019","Percent_Families_150000_199999","Kentucky",6.3
"2019","Total_Families_150000_199999","Kentucky",71144.388
"2019","Percent_Families_200000_or_more","Kentucky",5.6
"2019","Total_Families_200000_or_more","Kentucky",63239.456
"2019","Families_median_income_(dollars)","Kentucky",66183
"2019","Families_mean_income_(dollars)","Kentucky",85541
"2019","Total_Married-couple-families","Kentucky",830268
"2019","Percent_Married-couple-families_Less_10000","Kentucky",1.9
"2019","Total_Married-couple-families_Less_10000","Kentucky",15775.092
"2019","Percent_Married-couple-families_10000_14999","Kentucky",1.5
"2019","Total_Married-couple-families_10000_14999","Kentucky",12454.02
"2019","Percent_Married-couple-families_15000_24999","Kentucky",4.5
"2019","Total_Married-couple-families_15000_24999","Kentucky",37362.06
"2019","Percent_Married-couple-families_25000_34999","Kentucky",6.6
"2019","Total_Married-couple-families_25000_34999","Kentucky",54797.688
"2019","Percent_Married-couple-families_35000_49999","Kentucky",11.8
"2019","Total_Married-couple-families_35000_49999","Kentucky",97971.624
"2019","Percent_Married-couple-families_50000_74999","Kentucky",20.3
"2019","Total_Married-couple-families_50000_74999","Kentucky",168544.404
"2019","Percent_Married-couple-families_75000_99999","Kentucky",17.6
"2019","Total_Married-couple-families_75000_99999","Kentucky",146127.168
"2019","Percent_Married-couple-families_100000_149999","Kentucky",20.5
"2019","Total_Married-couple-families_100000_149999","Kentucky",170204.94
"2019","Percent_Married-couple-families_150000_199999","Kentucky",8
"2019","Total_Married-couple-families_150000_199999","Kentucky",66421.44
"2019","Percent_Married-couple-families_200000_or_more","Kentucky",7.2
"2019","Total_Married-couple-families_200000_or_more","Kentucky",59779.296
"2019","Married-couple-families_median_income_(dollars)","Kentucky",78727
"2019","Married-couple-families_mean_income_(dollars)","Kentucky",99732
"2019","Total_Nonfamily_households","Kentucky",619456
"2019","Percent_Nonfamily_households_Less_10000","Kentucky",14.3
"2019","Total_Nonfamily_households_Less_10000","Kentucky",88582.208
"2019","Percent_Nonfamily_households_10000_14999","Kentucky",10.8
"2019","Total_Nonfamily_households_10000_14999","Kentucky",66901.248
"2019","Percent_Nonfamily_households_15000_24999","Kentucky",17.3
"2019","Total_Nonfamily_households_15000_24999","Kentucky",107165.888
"2019","Percent_Nonfamily_households_25000_34999","Kentucky",13.1
"2019","Total_Nonfamily_households_25000_34999","Kentucky",81148.736
"2019","Percent_Nonfamily_households_35000_49999","Kentucky",14.6
"2019","Total_Nonfamily_households_35000_49999","Kentucky",90440.576
"2019","Percent_Nonfamily_households_50000_74999","Kentucky",15.6
"2019","Total_Nonfamily_households_50000_74999","Kentucky",96635.136
"2019","Percent_Nonfamily_households_75000_99999","Kentucky",6.8
"2019","Total_Nonfamily_households_75000_99999","Kentucky",42123.008
"2019","Percent_Nonfamily_households_100000_149999","Kentucky",4.9
"2019","Total_Nonfamily_households_100000_149999","Kentucky",30353.344
"2019","Percent_Nonfamily_households_150000_199999","Kentucky",1.5
"2019","Total_Nonfamily_households_150000_199999","Kentucky",9291.84
"2019","Percent_Nonfamily_households_200000_or_more","Kentucky",1.2
"2019","Total_Nonfamily_households_200000_or_more","Kentucky",7433.472
"2019","Nonfamily_households_median_income_(dollars)","Kentucky",30384
"2019","Nonfamily_households_mean_income_(dollars)","Kentucky",44650
"2021","Total_Households","Kentucky",1785682
"2021","Percent_Households_Less_10000","Kentucky",8.1
"2021","Total_Households_Less_10000","Kentucky",144640.242
"2021","Percent_Households_10000_14999","Kentucky",5.2
"2021","Total_Households_10000_14999","Kentucky",92855.464
"2021","Percent_Households_15000_24999","Kentucky",9.7
"2021","Total_Households_15000_24999","Kentucky",173211.154
"2021","Percent_Households_25000_34999","Kentucky",9.3
"2021","Total_Households_25000_34999","Kentucky",166068.426
"2021","Percent_Households_35000_49999","Kentucky",13
"2021","Total_Households_35000_49999","Kentucky",232138.66
"2021","Percent_Households_50000_74999","Kentucky",18
"2021","Total_Households_50000_74999","Kentucky",321422.76
"2021","Percent_Households_75000_99999","Kentucky",12.6
"2021","Total_Households_75000_99999","Kentucky",224995.932
"2021","Percent_Households_100000_149999","Kentucky",13.8
"2021","Total_Households_100000_149999","Kentucky",246424.116
"2021","Percent_Households_150000_199999","Kentucky",5.2
"2021","Total_Households_150000_199999","Kentucky",92855.464
"2021","Percent_Households_200000_or_more","Kentucky",5.2
"2021","Total_Households_200000_or_more","Kentucky",92855.464
"2021","Households_median_income_(dollars)","Kentucky",55573
"2021","Household_mean_income_(dollars)","Kentucky",76234
"2021","Total_Families","Kentucky",1159532
"2021","Percent_Families_Less_10000","Kentucky",5.2
"2021","Total_Families_Less_10000","Kentucky",60295.664
"2021","Percent_Families_10000_14999","Kentucky",2.9
"2021","Total_Families_10000_14999","Kentucky",33626.428
"2021","Percent_Families_15000_24999","Kentucky",7.3
"2021","Total_Families_15000_24999","Kentucky",84645.836
"2021","Percent_Families_25000_34999","Kentucky",7.6
"2021","Total_Families_25000_34999","Kentucky",88124.432
"2021","Percent_Families_35000_49999","Kentucky",11.7
"2021","Total_Families_35000_49999","Kentucky",135665.244
"2021","Percent_Families_50000_74999","Kentucky",19.1
"2021","Total_Families_50000_74999","Kentucky",221470.612
"2021","Percent_Families_75000_99999","Kentucky",14.7
"2021","Total_Families_75000_99999","Kentucky",170451.204
"2021","Percent_Families_100000_149999","Kentucky",17.6
"2021","Total_Families_100000_149999","Kentucky",204077.632
"2021","Percent_Families_150000_199999","Kentucky",7.1
"2021","Total_Families_150000_199999","Kentucky",82326.772
"2021","Percent_Families_200000_or_more","Kentucky",6.9
"2021","Total_Families_200000_or_more","Kentucky",80007.708
"2021","Families_median_income_(dollars)","Kentucky",70060
"2021","Families_mean_income_(dollars)","Kentucky",90106
"2021","Total_Married-couple-families","Kentucky",850400
"2021","Percent_Married-couple-families_Less_10000","Kentucky",2
"2021","Total_Married-couple-families_Less_10000","Kentucky",17008
"2021","Percent_Married-couple-families_10000_14999","Kentucky",1.4
"2021","Total_Married-couple-families_10000_14999","Kentucky",11905.6
"2021","Percent_Married-couple-families_15000_24999","Kentucky",4.9
"2021","Total_Married-couple-families_15000_24999","Kentucky",41669.6
"2021","Percent_Married-couple-families_25000_34999","Kentucky",5.7
"2021","Total_Married-couple-families_25000_34999","Kentucky",48472.8
"2021","Percent_Married-couple-families_35000_49999","Kentucky",9.9
"2021","Total_Married-couple-families_35000_49999","Kentucky",84189.6
"2021","Percent_Married-couple-families_50000_74999","Kentucky",19.6
"2021","Total_Married-couple-families_50000_74999","Kentucky",166678.4
"2021","Percent_Married-couple-families_75000_99999","Kentucky",17
"2021","Total_Married-couple-families_75000_99999","Kentucky",144568
"2021","Percent_Married-couple-families_100000_149999","Kentucky",21.6
"2021","Total_Married-couple-families_100000_149999","Kentucky",183686.4
"2021","Percent_Married-couple-families_150000_199999","Kentucky",9
"2021","Total_Married-couple-families_150000_199999","Kentucky",76536
"2021","Percent_Married-couple-families_200000_or_more","Kentucky",8.7
"2021","Total_Married-couple-families_200000_or_more","Kentucky",73984.8
"2021","Married-couple-families_median_income_(dollars)","Kentucky",83954
"2021","Married-couple-families_mean_income_(dollars)","Kentucky",104785
"2021","Total_Nonfamily_households","Kentucky",626150
"2021","Percent_Nonfamily_households_Less_10000","Kentucky",14.9
"2021","Total_Nonfamily_households_Less_10000","Kentucky",93296.35
"2021","Percent_Nonfamily_households_10000_14999","Kentucky",9.8
"2021","Total_Nonfamily_households_10000_14999","Kentucky",61362.7
"2021","Percent_Nonfamily_households_15000_24999","Kentucky",15
"2021","Total_Nonfamily_households_15000_24999","Kentucky",93922.5
"2021","Percent_Nonfamily_households_25000_34999","Kentucky",12.7
"2021","Total_Nonfamily_households_25000_34999","Kentucky",79521.05
"2021","Percent_Nonfamily_households_35000_49999","Kentucky",15.4
"2021","Total_Nonfamily_households_35000_49999","Kentucky",96427.1
"2021","Percent_Nonfamily_households_50000_74999","Kentucky",15.5
"2021","Total_Nonfamily_households_50000_74999","Kentucky",97053.25
"2021","Percent_Nonfamily_households_75000_99999","Kentucky",7.8
"2021","Total_Nonfamily_households_75000_99999","Kentucky",48839.7
"2021","Percent_Nonfamily_households_100000_149999","Kentucky",5.8
"2021","Total_Nonfamily_households_100000_149999","Kentucky",36316.7
"2021","Percent_Nonfamily_households_150000_199999","Kentucky",1.5
"2021","Total_Nonfamily_households_150000_199999","Kentucky",9392.25
"2021","Percent_Nonfamily_households_200000_or_more","Kentucky",1.6
"2021","Total_Nonfamily_households_200000_or_more","Kentucky",10018.4
"2021","Nonfamily_households_median_income_(dollars)","Kentucky",32452
"2021","Nonfamily_households_mean_income_(dollars)","Kentucky",47032
"2022","Total_Households","Kentucky",1828680
"2022","Percent_Households_Less_10000","Kentucky",6.8
"2022","Total_Households_Less_10000","Kentucky",124350.24
"2022","Percent_Households_10000_14999","Kentucky",5.8
"2022","Total_Households_10000_14999","Kentucky",106063.44
"2022","Percent_Households_15000_24999","Kentucky",8.9
"2022","Total_Households_15000_24999","Kentucky",162752.52
"2022","Percent_Households_25000_34999","Kentucky",8.9
"2022","Total_Households_25000_34999","Kentucky",162752.52
"2022","Percent_Households_35000_49999","Kentucky",12.4
"2022","Total_Households_35000_49999","Kentucky",226756.32
"2022","Percent_Households_50000_74999","Kentucky",17.5
"2022","Total_Households_50000_74999","Kentucky",320019
"2022","Percent_Households_75000_99999","Kentucky",12.6
"2022","Total_Households_75000_99999","Kentucky",230413.68
"2022","Percent_Households_100000_149999","Kentucky",14.9
"2022","Total_Households_100000_149999","Kentucky",272473.32
"2022","Percent_Households_150000_199999","Kentucky",6.2
"2022","Total_Households_150000_199999","Kentucky",113378.16
"2022","Percent_Households_200000_or_more","Kentucky",6
"2022","Total_Households_200000_or_more","Kentucky",109720.8
"2022","Households_median_income_(dollars)","Kentucky",59341
"2022","Household_mean_income_(dollars)","Kentucky",82614
"2022","Total_Families","Kentucky",1172125
"2022","Percent_Families_Less_10000","Kentucky",4.3
"2022","Total_Families_Less_10000","Kentucky",50401.375
"2022","Percent_Families_10000_14999","Kentucky",2.8
"2022","Total_Families_10000_14999","Kentucky",32819.5
"2022","Percent_Families_15000_24999","Kentucky",5.9
"2022","Total_Families_15000_24999","Kentucky",69155.375
"2022","Percent_Families_25000_34999","Kentucky",7.4
"2022","Total_Families_25000_34999","Kentucky",86737.25
"2022","Percent_Families_35000_49999","Kentucky",11.1
"2022","Total_Families_35000_49999","Kentucky",130105.875
"2022","Percent_Families_50000_74999","Kentucky",17.7
"2022","Total_Families_50000_74999","Kentucky",207466.125
"2022","Percent_Families_75000_99999","Kentucky",14.7
"2022","Total_Families_75000_99999","Kentucky",172302.375
"2022","Percent_Families_100000_149999","Kentucky",19.5
"2022","Total_Families_100000_149999","Kentucky",228564.375
"2022","Percent_Families_150000_199999","Kentucky",8.4
"2022","Total_Families_150000_199999","Kentucky",98458.5
"2022","Percent_Families_200000_or_more","Kentucky",8.2
"2022","Total_Families_200000_or_more","Kentucky",96114.25
"2022","Families_median_income_(dollars)","Kentucky",76119
"2022","Families_mean_income_(dollars)","Kentucky",99631
"2022","Total_Married-couple-families","Kentucky",860710
"2022","Percent_Married-couple-families_Less_10000","Kentucky",1.9
"2022","Total_Married-couple-families_Less_10000","Kentucky",16353.49
"2022","Percent_Married-couple-families_10000_14999","Kentucky",1.4
"2022","Total_Married-couple-families_10000_14999","Kentucky",12049.94
"2022","Percent_Married-couple-families_15000_24999","Kentucky",3.7
"2022","Total_Married-couple-families_15000_24999","Kentucky",31846.27
"2022","Percent_Married-couple-families_25000_34999","Kentucky",5.8
"2022","Total_Married-couple-families_25000_34999","Kentucky",49921.18
"2022","Percent_Married-couple-families_35000_49999","Kentucky",9
"2022","Total_Married-couple-families_35000_49999","Kentucky",77463.9
"2022","Percent_Married-couple-families_50000_74999","Kentucky",17.2
"2022","Total_Married-couple-families_50000_74999","Kentucky",148042.12
"2022","Percent_Married-couple-families_75000_99999","Kentucky",16.5
"2022","Total_Married-couple-families_75000_99999","Kentucky",142017.15
"2022","Percent_Married-couple-families_100000_149999","Kentucky",23.4
"2022","Total_Married-couple-families_100000_149999","Kentucky",201406.14
"2022","Percent_Married-couple-families_150000_199999","Kentucky",10.6
"2022","Total_Married-couple-families_150000_199999","Kentucky",91235.26
"2022","Percent_Married-couple-families_200000_or_more","Kentucky",10.5
"2022","Total_Married-couple-families_200000_or_more","Kentucky",90374.55
"2022","Married-couple-families_median_income_(dollars)","Kentucky",91212
"2022","Married-couple-families_mean_income_(dollars)","Kentucky",115427
"2022","Total_Nonfamily_households","Kentucky",656555
"2022","Percent_Nonfamily_households_Less_10000","Kentucky",12.3
"2022","Total_Nonfamily_households_Less_10000","Kentucky",80756.265
"2022","Percent_Nonfamily_households_10000_14999","Kentucky",11.4
"2022","Total_Nonfamily_households_10000_14999","Kentucky",74847.27
"2022","Percent_Nonfamily_households_15000_24999","Kentucky",15
"2022","Total_Nonfamily_households_15000_24999","Kentucky",98483.25
"2022","Percent_Nonfamily_households_25000_34999","Kentucky",12.3
"2022","Total_Nonfamily_households_25000_34999","Kentucky",80756.265
"2022","Percent_Nonfamily_households_35000_49999","Kentucky",15.5
"2022","Total_Nonfamily_households_35000_49999","Kentucky",101766.025
"2022","Percent_Nonfamily_households_50000_74999","Kentucky",16.5
"2022","Total_Nonfamily_households_50000_74999","Kentucky",108331.575
"2022","Percent_Nonfamily_households_75000_99999","Kentucky",7.9
"2022","Total_Nonfamily_households_75000_99999","Kentucky",51867.845
"2022","Percent_Nonfamily_households_100000_149999","Kentucky",5.8
"2022","Total_Nonfamily_households_100000_149999","Kentucky",38080.19
"2022","Percent_Nonfamily_households_150000_199999","Kentucky",1.6
"2022","Total_Nonfamily_households_150000_199999","Kentucky",10504.88
"2022","Percent_Nonfamily_households_200000_or_more","Kentucky",1.7
"2022","Total_Nonfamily_households_200000_or_more","Kentucky",11161.435
"2022","Nonfamily_households_median_income_(dollars)","Kentucky",33993
"2022","Nonfamily_households_mean_income_(dollars)","Kentucky",48151
"2023","Total_Households","Kentucky",1853603
"2023","Percent_Households_Less_10000","Kentucky",6.8
"2023","Total_Households_Less_10000","Kentucky",126045.004
"2023","Percent_Households_10000_14999","Kentucky",5.2
"2023","Total_Households_10000_14999","Kentucky",96387.356
"2023","Percent_Households_15000_24999","Kentucky",8.9
"2023","Total_Households_15000_24999","Kentucky",164970.667
"2023","Percent_Households_25000_34999","Kentucky",8.3
"2023","Total_Households_25000_34999","Kentucky",153849.049
"2023","Percent_Households_35000_49999","Kentucky",12.8
"2023","Total_Households_35000_49999","Kentucky",237261.184
"2023","Percent_Households_50000_74999","Kentucky",17.1
"2023","Total_Households_50000_74999","Kentucky",316966.113
"2023","Percent_Households_75000_99999","Kentucky",12.6
"2023","Total_Households_75000_99999","Kentucky",233553.978
"2023","Percent_Households_100000_149999","Kentucky",15.5
"2023","Total_Households_100000_149999","Kentucky",287308.465
"2023","Percent_Households_150000_199999","Kentucky",6.4
"2023","Total_Households_150000_199999","Kentucky",118630.592
"2023","Percent_Households_200000_or_more","Kentucky",6.5
"2023","Total_Households_200000_or_more","Kentucky",120484.195
"2023","Households_median_income_(dollars)","Kentucky",61118
"2023","Household_mean_income_(dollars)","Kentucky",83499
"2023","Total_Families","Kentucky",1187553
"2023","Percent_Families_Less_10000","Kentucky",4.8
"2023","Total_Families_Less_10000","Kentucky",57002.544
"2023","Percent_Families_10000_14999","Kentucky",2.5
"2023","Total_Families_10000_14999","Kentucky",29688.825
"2023","Percent_Families_15000_24999","Kentucky",5.8
"2023","Total_Families_15000_24999","Kentucky",68878.074
"2023","Percent_Families_25000_34999","Kentucky",6.8
"2023","Total_Families_25000_34999","Kentucky",80753.604
"2023","Percent_Families_35000_49999","Kentucky",11.1
"2023","Total_Families_35000_49999","Kentucky",131818.383
"2023","Percent_Families_50000_74999","Kentucky",16.9
"2023","Total_Families_50000_74999","Kentucky",200696.457
"2023","Percent_Families_75000_99999","Kentucky",14.5
"2023","Total_Families_75000_99999","Kentucky",172195.185
"2023","Percent_Families_100000_149999","Kentucky",20.1
"2023","Total_Families_100000_149999","Kentucky",238698.153
"2023","Percent_Families_150000_199999","Kentucky",8.7
"2023","Total_Families_150000_199999","Kentucky",103317.111
"2023","Percent_Families_200000_or_more","Kentucky",8.8
"2023","Total_Families_200000_or_more","Kentucky",104504.664
"2023","Families_median_income_(dollars)","Kentucky",77935
"2023","Families_mean_income_(dollars)","Kentucky",100215
"2023","Total_Married-couple-families","Kentucky",867100
"2023","Percent_Married-couple-families_Less_10000","Kentucky",2
"2023","Total_Married-couple-families_Less_10000","Kentucky",17342
"2023","Percent_Married-couple-families_10000_14999","Kentucky",1.4
"2023","Total_Married-couple-families_10000_14999","Kentucky",12139.4
"2023","Percent_Married-couple-families_15000_24999","Kentucky",3.9
